Epoch: [0][590/677]	Time 0.020 (0.014)	Data 0.017 (0.010)	Loss 5.5455 (5.5226)	Prec@all 41.406 (42.668)
Epoch: [0][600/677]	Time 0.006 (0.014)	Data 0.003 (0.010)	Loss 5.5429 (5.5230)	Prec@all 41.016 (42.644)
Epoch: [0][610/677]	Time 0.022 (0.014)	Data 0.019 (0.010)	Loss 5.5443 (5.5234)	Prec@all 40.625 (42.632)
Epoch: [0][620/677]	Time 0.010 (0.014)	Data 0.006 (0.010)	Loss 5.5471 (5.5237)	Prec@all 42.578 (42.632)
Epoch: [0][630/677]	Time 0.024 (0.014)	Data 0.020 (0.010)	Loss 5.5466 (5.5240)	Prec@all 40.625 (42.605)
Epoch: [0][640/677]	Time 0.004 (0.014)	Data 0.000 (0.010)	Loss 5.5464 (5.5244)	Prec@all 38.672 (42.592)
Epoch: [0][650/677]	Time 0.031 (0.014)	Data 0.027 (0.010)	Loss 5.5439 (5.5247)	Prec@all 46.484 (42.577)
Epoch: [0][660/677]	Time 0.004 (0.014)	Data 0.001 (0.010)	Loss 5.5464 (5.5250)	Prec@all 38.281 (42.570)
Epoch: [0][670/677]	Time 0.013 (0.014)	Data 0.009 (0.010)	Loss 5.5441 (5.5253)	Prec@all 41.406 (42.537)
Test: 	Time 0.193 (0.193)	Data 0.191 (0.191)	Loss 5.5437 (5.5437)	Prec@all 44.141 (44.141)
Test: 	Time 0.022 (0.027)	Data 0.020 (0.025)	Loss 5.5467 (5.5453)	Prec@all 39.844 (41.477)
Test: 	Time 0.002 (0.022)	Data 0.000 (0.020)	Loss 5.5448 (5.5455)	Prec@all 43.750 (41.760)
Test: 	Time 0.005 (0.019)	Data 0.003 (0.017)	Loss 5.5440 (5.5453)	Prec@all 44.922 (42.314)
Test: 	Time 0.025 (0.018)	Data 0.023 (0.016)	Loss 5.5430 (5.5452)	Prec@all 43.750 (42.426)
Test: 	Time 0.022 (0.018)	Data 0.020 (0.016)	Loss 5.5455 (5.5452)	Prec@all 41.406 (42.632)
Test: 	Time 0.016 (0.018)	Data 0.014 (0.016)	Loss 5.5457 (5.5451)	Prec@all 44.141 (42.828)
Test: 	Time 0.028 (0.017)	Data 0.026 (0.015)	Loss 5.5454 (5.5452)	Prec@all 43.359 (42.941)
Test: 	Time 0.015 (0.017)	Data 0.013 (0.015)	Loss 5.5455 (5.5452)	Prec@all 41.406 (42.853)
